spotify_track_id,songid,performer,song,spotify_track_album,spotify_track_explicit,first_chart_appearance,peak_position,weeks_on_chart
0M78T1W2eL8DsLgCufoGzM,Stop To LoveLuther Vandross,Luther Vandross,Stop To Love,Give Me The Reason,false,1986-11-15,86,19
3uWDev1JIiPQgH6FRX5HyM,Please Don't Go GirlNew Kids On The Block,New Kids On The Block,Please Don't Go Girl,Super Hits,false,1988-06-25,92,28
315NtKOZZ30iThBRGS13Al,Soul SerenadeWillie Mitchell,Willie Mitchell,Soul Serenade,Ooh Bab,false,1968-03-09,74,15
3OQu3z3okKVmWxSXTTHak5,Put That Woman FirstJaheim,Jaheim,Put That Woman First,Still Ghetto,true,2003-03-22,75,20
1SwyDb5qUcLjukFqSCRqxy,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)Chic",Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Danc,false,1977-10-29,90,28
3lWuagNhAzcqOikD5KnBku,Crying In The RainThe Everly Brothers,The Everly Brothers,Crying In The Rain,The Golden Hits Of The Everly Brothers,false,1962-01-13,89,13
0Y6z0WSMQpTpj4kQArPnmK,Come Baby ComeK7,K7,Come Baby Come,Swing Batta Swing!,false,1993-09-04,96,21
26J61MmE6YCWqIyROZdEgL,Ten Rounds With Jose CuervoTracy Byrd,Tracy Byrd,Ten Rounds With Jose Cuervo,Ten Rounds,false,2002-07-06,73,20
2R3E4xKmy7lyieBKONkIMT,99Toto,Toto,99,Hydra,false,1979-12-22,85,17
6FE2iI43OZnszFLuLtvvmg,ClassicMKTO,MKTO,Classic,MKTO,false,2014-03-01,96,27
0dfQwyoZoS9LgQiU6AJO7f,100% Pure LoveCrystal Waters,Crystal Waters,100% Pure Love,The Best Of Crystal Waters,false,1994-05-28,89,45
64XSAtXpCJUmadm3fkpH4z,Back 2 Goodmatchbox 20,matchbox 20,Back 2 Good,Yourself Or Someone Like You,false,1998-12-26,85,28
3ifaGhNHnCPQ9zdnOfolcZ,Ah! Leah!Donnie Iris,Donnie Iris,Ah! Leah!,20th Century Masters: The Millennium Collection: Best of Donnie Iris,false,1980-12-13,90,18
7vtaQNW7QHtQsLeshQlm3D,One Day In Your LifeMichael Jackson,Michael Jackson,One Day In Your Life,Foeve,false,1981-04-18,81,7
7w6PJe5KBPyvuRYxFkPssC,No More TearsOzzy Osbourne,Ozzy Osbourne,No More Tears,No More Tears (Expanded Edition),false,1991-11-30,81,9
18emjfeYAJGmddLuGudbzl,One GirlGarnet Mimms,Garnet Mimms,One Girl,The Best Of Barnet Mimms: Cry Baby,false,1964-05-16,82,4
7KnSQMDfPNVKJkiniY2fZF,Going In With My Eyes OpenDavid Soul,David Soul,Going In With My Eyes Open,Playing to an Audience of One,false,1977-05-07,82,7
1PokNDiTBQZgXci6rn2BVE,Music BoxEminem,Eminem,Music Box,Relapse: Refill,true,2010-01-09,82,1
3qczyRtur0tILibW9rHBFA,InfinityMariah Carey,Mariah Carey,Infinity,"#1 to Infinity",false,2015-05-16,82,1
7hdw5gAGMyyn9z0XgfTv1j,No NameNF,NF,No Name,NO NAME,false,2018-02-03,82,1
11jbFBDpBlJwMOJQi3m9jk,"Music, Harmony And RhythmBrooklyn Dreams",Brooklyn Dreams,"Music, Harmony And Rhythm",Casablanca Records Greatest Hits,false,1978-03-25,83,8
022XE9RZVU3a9nULENXfnm,"I Lost On Jeopardy""Weird Al"" Yankovic","""Weird Al"" Yankovic",I Lost On Jeopardy,In 3-D,false,1984-06-30,83,3
0M9VqYG0wVun054JIdwFO8,La La LandDemi Lovato,Demi Lovato,La La Land,Don't Forget,false,2009-01-10,83,8
3HcYP0UHeSiRaPbhsXT0bd,If I Should Lose YouDreamlovers,Dreamlovers,If I Should Lose You,The Best Of The Dreamlovers - The Heritage Years Plus...,false,1962-06-30,84,5
4aI70CkjBbvG9MLjLRJ0UC,I Stand AccusedJerry Butler,Jerry Butler,I Stand Accused,Smile (Remastered),false,1964-08-01,84,6
3cHCo9rNkgPRz3UV3UmBW5,Free The PeopleDelaney & Bonnie & Friends,Delaney & Bonnie & Friends,Free The People,To Bonnie From Delaney (Mono),false,1970-05-23,84,4
1Pq1ySROrhPJ1ljTcZPy83,Long Live RockThe Who,The Who,Long Live Rock,The Kids Are Alright,false,1979-06-30,84,6
